date,new_cases_smoothed_per_million,new_deaths_smoothed_per_million,weekly_hosp_admissions_per_million,new_vaccinations_smoothed_per_million
2020-01-23,,,,
2020-01-24,,,,
2020-01-25,,,,
2020-01-26,,,,
2020-01-27,,,,
2020-01-28,0.015,,,
2020-01-29,0.015,,,
2020-01-30,0.007,,,
2020-01-31,0.004,,,
2020-02-01,0.004,,,
2020-02-02,0.004,,,
2020-02-03,0.004,,,
2020-02-04,0.004,,,
2020-02-05,0.007,,,
2020-02-06,0.007,,,
2020-02-07,0.015,,,
2020-02-08,0.015,,,
2020-02-09,0.015,,,
2020-02-10,0.019,,,
2020-02-11,0.015,,,
2020-02-12,0.011,,,
2020-02-13,0.011,,,
2020-02-14,0.004,,,
2020-02-15,0.004,,,
2020-02-16,0.004,,,
2020-02-17,0.004,,,
2020-02-18,0.004,,,
2020-02-19,0.004,,,
2020-02-20,0.007,,,
2020-02-21,0.015,,,
2020-02-22,0.019,,,
2020-02-23,0.022,,,
2020-02-24,0.022,,,
2020-02-25,0.033,,,
2020-02-26,0.037,,,
2020-02-27,0.041,,,
2020-02-28,0.056,,,
2020-02-29,0.071,,,
2020-03-01,0.085,,,
2020-03-02,0.108,,,
2020-03-03,0.119,,,
2020-03-04,0.145,,,
2020-03-05,0.182,,,
2020-03-06,0.23,,,
2020-03-07,0.241,,,
2020-03-08,0.305,,,
2020-03-09,0.368,,,
2020-03-10,0.424,,,
2020-03-11,0.628,,,
2020-03-12,0.81,,,
2020-03-13,1.1,,,
2020-03-14,1.319,0.004,,
2020-03-15,1.594,0.004,,
2020-03-16,2.066,0.011,,
2020-03-17,2.56,0.019,,
2020-03-18,3.228,0.037,,
2020-03-19,3.938,0.041,,
2020-03-20,4.852,0.052,,
2020-03-21,6.471,0.063,,
2020-03-22,7.813,0.078,,
2020-03-23,9.652,0.093,,
2020-03-24,11.676,0.104,,
2020-03-25,12.902,0.134,,
2020-03-26,15.462,0.175,,
2020-03-27,17.416,0.189,,
2020-03-28,19.002,0.241,,
2020-03-29,20.782,0.282,,
2020-03-30,22.959,0.327,,
2020-03-31,24.942,0.438,,
2020-04-01,27.688,0.476,,
2020-04-02,30.578,0.613,,
2020-04-03,32.298,0.784,,
2020-04-04,33.806,1.029,,
2020-04-05,34.746,1.252,,
