date,new_cases_smoothed_per_million,new_deaths_smoothed_per_million,weekly_hosp_admissions_per_million,new_vaccinations_smoothed_per_million
2020-01-24,,,,
2020-01-25,,,,
2020-01-26,,,,
2020-01-27,,,,
2020-01-28,,,,
2020-01-29,0.011,,,
2020-01-30,0.011,,,
2020-01-31,0.006,,,
2020-02-01,0.006,,,
2020-02-02,0.006,,,
2020-02-03,0.006,,,
2020-02-04,0.004,,,
2020-02-05,0.002,,,
2020-02-06,0.002,,,
2020-02-07,0.002,,,
2020-02-08,0.011,,,
2020-02-09,0.011,,,
2020-02-10,0.011,,,
2020-02-11,0.011,,,
2020-02-12,0.011,,,
2020-02-13,0.011,,,
2020-02-14,0.011,,,
2020-02-15,0.002,,,
2020-02-16,0.002,,,
2020-02-17,0.002,,,
2020-02-18,0.002,,,
2020-02-19,0.002,,,
2020-02-20,0.002,0.002,,
2020-02-21,0.002,0.002,,
2020-02-22,0.0,0.0,,
2020-02-23,0.0,0.0,,
2020-02-24,0.0,0.0,,
2020-02-25,0.004,0.0,,
2020-02-26,0.013,0.002,,
2020-02-27,0.055,0.002,,
2020-02-28,0.095,0.002,,
2020-02-29,0.185,0.002,,
2020-03-01,0.249,0.002,,
2020-03-02,0.377,0.004,,
2020-03-03,0.417,0.006,,
2020-03-04,0.569,0.004,,
2020-03-05,0.817,0.011,,
2020-03-06,1.178,0.015,,
2020-03-07,1.786,0.029,,
2020-03-08,2.096,0.036,,
2020-03-09,2.57,0.046,,
2020-03-10,3.31,0.061,,
2020-03-11,4.224,0.093,,
2020-03-12,3.933,0.086,,
2020-03-13,6.451,0.147,,
2020-03-14,7.468,0.158,,
2020-03-15,7.171,0.152,,
2020-03-16,11.1,0.261,,
2020-03-17,12.49,0.244,,
2020-03-18,14.384,0.213,,
2020-03-19,18.262,0.413,,
2020-03-20,19.101,0.784,,
2020-03-21,20.963,0.994,,
2020-03-22,25.722,1.232,,
2020-03-23,28.258,1.502,,
2020-03-24,30.81,2.008,,
2020-03-25,34.066,2.494,212.29,
2020-03-26,38.438,3.061,225.09,
2020-03-27,42.67,3.255,251.677,
2020-03-28,48.882,3.689,278.413,
2020-03-29,49.531,4.07,295.386,
2020-03-30,51.613,4.557,310.943,
2020-03-31,62.971,5.106,333.476,
2020-04-01,66.949,7.259,349.918,
2020-04-02,63.123,7.776,360.948,
2020-04-03,66.138,9.509,369.324,
2020-04-04,,11.056,361.494,
2020-04-05,52.645,11.53,350.375,
2020-04-06,49.095,12.406,345.155,
2020-04-07,,14.334,332.34,
2020-04-08,,12.84,315.5,
2020-04-09,,14.38,302.892,
2020-04-10,,14.091,296.02,
2020-04-11,29.809,13.215,284.547,
2020-04-12,134.928,13.303,280.964,
2020-04-13,135.941,12.756,258.888,
2020-04-14,172.698,11.338,239.541,
2020-04-15,171.341,13.221,228.865,
2020-04-16,189.867,11.985,215.504,
2020-04-17,190.551,11.513,200.832,
2020-04-18,195.521,11.523,193.768,
2020-04-19,90.924,11.161,182.001,
2020-04-20,89.465,11.106,185.053,
2020-04-21,58.324,10.653,183.873,
2020-04-22,55.356,8.77,172.135,
2020-04-23,,8.271,162.196,
2020-04-24,30.797,7.487,150.104,
2020-04-25,26.318,6.914,141.757,
2020-04-26,25.347,6.606,135.726,
2020-04-27,27.959,6.375,128.353,
2020-04-28,28.939,6.036,120.036,
2020-04-29,,5.787,111.94,
2020-04-30,27.717,5.309,106.602,
2020-05-01,22.903,4.946,96.604,
2020-05-02,21.037,4.584,88.552,
2020-05-03,20.464,4.357,86.547,
2020-05-04,13.883,4.081,82.492,
2020-05-05,9.636,4.009,77.566,
2020-05-06,18.349,3.691,74.071,
2020-05-07,17.344,3.459,69.352,
2020-05-08,17.354,3.512,67.023,
2020-05-09,16.798,3.265,64.25,
2020-05-10,16.562,3.128,62.894,
2020-05-11,16.042,3.038,60.446,
2020-05-12,15.279,3.069,55.771,
2020-05-13,7.664,2.669,51.495,
2020-05-14,7.455,3.031,48.752,
2020-05-15,7.417,2.737,47.69,
2020-05-16,7.179,2.774,48.943,
2020-05-17,6.95,3.644,47.454,
2020-05-18,7.222,3.362,45.272,
2020-05-19,6.691,,42.853,
2020-05-20,6.606,2.684,41.216,
2020-05-21,5.816,2.117,37.22,
2020-05-22,6.328,2.214,34.639,
2020-05-23,6.604,2.189,32.914,
2020-05-24,,,32.457,
2020-05-25,6.059,,31.97,
2020-05-26,5.54,1.376,29.198,
2020-05-27,4.892,1.144,26.824,
2020-05-28,11.37,1.112,26.558,
2020-05-29,11.028,0.908,26.44,
2020-05-30,13.657,0.847,26.352,
2020-05-31,14.146,0.912,25.629,
2020-06-01,14.317,0.792,21.898,
2020-06-02,,0.727,20.586,
2020-06-03,,0.895,20.276,
2020-06-04,,0.849,19.421,
2020-06-05,,0.836,18.802,
2020-06-06,,0.782,17.563,
2020-06-07,,0.744,17.047,
2020-06-08,,0.792,17.873,
2020-06-09,14.072,0.754,16.988,
2020-06-10,15.389,0.628,15.218,
2020-06-11,6.971,0.59,14.452,
2020-06-12,7.434,0.554,13.316,
2020-06-13,7.276,0.539,12.21,
2020-06-14,7.38,0.533,12.151,
2020-06-15,7.089,0.476,11.694,
2020-06-16,7.323,0.531,11.311,
2020-06-17,7.036,0.539,11.104,
2020-06-18,7.504,0.541,11.001,
2020-06-19,7.474,0.512,10.706,
2020-06-20,7.731,0.499,11.03,
2020-06-21,7.632,0.491,11.252,
2020-06-22,7.645,0.482,11.664,
2020-06-23,7.719,0.356,11.281,
2020-06-24,7.253,0.331,11.001,
2020-06-25,6.556,0.312,10.824,
2020-06-26,7.559,0.337,10.396,
2020-06-27,7.198,0.301,9.88,
2020-06-28,,0.289,9.821,
2020-06-29,7.535,0.312,9.231,
2020-06-30,6.996,0.261,9.747,
2020-07-01,8.517,0.274,9.88,
2020-07-02,9.115,0.261,9.423,
2020-07-03,7.59,0.244,9.983,
2020-07-04,7.401,0.242,9.865,
2020-07-05,7.426,,9.526,
2020-07-06,8.212,0.232,9.467,
2020-07-07,8.237,0.192,9.099,
2020-07-08,7.883,0.217,8.759,
2020-07-09,7.683,0.223,8.553,
2020-07-10,8.052,0.24,8.715,
2020-07-11,7.826,0.246,8.863,
2020-07-12,7.835,0.246,8.936,
2020-07-13,8.688,0.232,8.494,
2020-07-14,7.862,0.213,7.521,
2020-07-15,7.66,0.333,8.258,
2020-07-16,7.923,0.335,8.848,
2020-07-17,8.155,0.308,8.597,
2020-07-18,7.974,0.308,8.759,
2020-07-19,7.948,0.308,8.907,
2020-07-20,8.976,0.31,9.924,
2020-07-21,10.099,,10.632,
2020-07-22,10.51,0.133,10.617,
2020-07-23,11.915,0.12,10.676,
2020-07-24,12.478,0.114,10.78,
2020-07-25,12.307,0.107,11.045,
2020-07-26,12.307,0.107,11.045,
2020-07-27,13.522,0.095,10.765,
2020-07-28,13.457,0.122,11.694,
2020-07-29,14.614,0.139,11.487,
2020-07-30,14.947,0.15,11.384,
2020-07-31,15.393,0.152,11.768,
2020-08-01,15.347,0.152,11.635,
2020-08-02,15.345,0.152,11.473,
2020-08-03,17.184,0.177,11.827,
2020-08-04,18.037,0.154,11.34,
2020-08-05,18.538,0.147,11.62,
2020-08-06,18.974,0.122,11.989,
2020-08-07,21.248,0.126,11.753,
2020-08-08,21.262,0.129,11.694,
2020-08-09,21.269,0.129,11.532,
2020-08-10,24.125,0.097,12.092,
2020-08-11,25.05,0.12,12.859,
2020-08-12,26.881,0.137,12.947,
2020-08-13,29.133,0.164,13.832,
2020-08-14,30.196,0.177,14.378,
2020-08-15,36.813,0.177,14.584,
2020-08-16,43.163,0.181,14.864,
2020-08-17,34.469,0.19,15.661,
2020-08-18,35.964,0.209,15.572,
2020-08-19,38.513,0.206,15.852,
2020-08-20,43.001,0.194,15.086,
2020-08-21,47.355,0.204,15.631,
2020-08-22,47.911,0.221,16.029,
2020-08-23,51.524,0.217,15.97,
2020-08-24,54.444,0.211,15.956,
2020-08-25,57.212,0.204,17.135,
2020-08-26,49.748,0.166,17.917,
2020-08-27,63.285,0.217,19.038,
2020-08-28,68.771,0.204,19.495,
2020-08-29,72.955,0.198,19.804,
2020-08-30,74.318,0.204,19.716,
2020-08-31,76.521,0.236,20.026,
2020-09-01,80.044,0.253,20.542,
2020-09-02,94.356,0.308,22.046,
2020-09-03,85.704,0.27,23.255,
2020-09-04,88.295,,24.007,
2020-09-05,94.898,0.244,24.494,
2020-09-06,98.338,0.246,25.128,
2020-09-07,100.786,0.23,27.989,
2020-09-08,104.228,0.253,30.791,
2020-09-09,107.47,0.265,31.808,
2020-09-10,112.905,0.27,32.472,
2020-09-11,114.264,0.438,34.757,
2020-09-12,120.04,0.451,35.863,
2020-09-13,118.629,0.453,36.335,
2020-09-14,122.821,0.476,37.766,
2020-09-15,125.113,0.501,40.007,
