date,new_cases_smoothed_per_million,new_deaths_smoothed_per_million,weekly_hosp_admissions_per_million,new_vaccinations_smoothed_per_million
2020-01-31,,,,
2020-02-01,,,,
2020-02-02,,,,
2020-02-03,,,,
2020-02-04,,,,
2020-02-05,0.005,,,
2020-02-06,0.005,,,
2020-02-07,0.002,,,
2020-02-08,0.002,,,
2020-02-09,0.002,,,
2020-02-10,0.002,,,
2020-02-11,0.002,,,
2020-02-12,0.002,,,
2020-02-13,0.002,,,
2020-02-14,0.0,,,
2020-02-15,0.0,,,
2020-02-16,0.0,,,
2020-02-17,0.0,,,
2020-02-18,0.0,,,
2020-02-19,0.0,,,
2020-02-20,0.0,,,
2020-02-21,0.041,,,
2020-02-22,0.143,,,
2020-02-23,0.368,,,
2020-02-24,0.547,,,
2020-02-25,0.772,,,
2020-02-26,1.089,0.029,20.258,
2020-02-27,1.578,0.041,24.069,
2020-02-28,2.1,0.048,28.338,
2020-02-29,2.579,0.065,32.793,
2020-03-01,3.724,0.075,37.671,
2020-03-02,4.373,0.109,45.649,
2020-03-03,5.275,0.167,54.779,
2020-03-04,6.379,0.23,65.467,
2020-03-05,7.751,0.317,78.442,
2020-03-06,9.069,0.426,92.263,
2020-03-07,11.506,0.494,105.831,
2020-03-08,13.747,0.803,117.603,
2020-03-09,17.267,0.995,130.51,
2020-03-10,18.504,1.336,143.163,
2020-03-11,22.681,1.742,156.731,
2020-03-12,27.235,2.1,169.841,
2020-03-13,31.515,2.587,187.999,
2020-03-14,36.96,2.923,201.618,
2020-03-15,42.036,3.492,214.474,
2020-03-16,45.511,4.102,232.463,
2020-03-17,51.679,4.53,251.23,
2020-03-18,56.262,5.205,268.016,
2020-03-19,62.725,5.781,283.684,
2020-03-20,71.047,6.693,293.509,
2020-03-21,78.451,8.189,303.045,
2020-03-22,83.218,8.873,307.991,
2020-03-23,86.983,9.483,311.734,
2020-03-24,91.153,10.446,310.955,
2020-03-25,93.58,10.949,304.518,
2020-03-26,95.712,11.639,293.288,
2020-03-27,95.525,12.346,283.041,
2020-03-28,94.115,12.578,269.608,
2020-03-29,93.285,12.832,256.905,
2020-03-30,91.496,13.343,239.56,
2020-03-31,88.602,13.57,222.249,
2020-04-01,87.567,13.677,208.732,
2020-04-02,83.852,13.793,197.773,
2020-04-03,80.649,13.422,181.529,
2020-04-04,77.82,12.919,169.486,
2020-04-05,75.64,12.36,159.492,
2020-04-06,74.548,11.934,148.567,
2020-04-07,72.095,11.371,139.267,
2020-04-08,69.806,10.923,131.476,
2020-04-09,68.683,10.56,123.803,
2020-04-10,67.149,10.086,118.264,
2020-04-11,66.88,9.936,114.758,
2020-04-12,66.338,9.708,111.827,
2020-04-13,65.259,9.539,104.95,
2020-04-14,65.097,9.534,102.291,
2020-04-15,62.268,9.621,96.921,
2020-04-16,61.256,9.415,92.145,
2020-04-17,60.148,9.427,88.672,
2020-04-18,57.237,9.096,84.438,
2020-04-19,54.709,9.101,81.135,
2020-04-20,52.538,8.83,81.779,
2020-04-21,51.95,8.665,77.392,
2020-04-22,53.651,8.324,75.545,
2020-04-23,50.893,8.176,73.394,
2020-04-24,49.75,7.801,70.447,
2020-04-25,47.006,7.639,68.042,
2020-04-26,45.257,7.221,66.229,
2020-04-27,44.006,6.928,62.791,
2020-04-28,42.462,6.56,59.877,
2020-04-29,39.355,6.284,56.371,
2020-04-30,37.482,5.851,52.56,
2020-05-01,34.927,5.486,47.817,
2020-05-02,33.821,5.628,44.7,
2020-05-03,31.559,5.42,41.652,
2020-05-04,30.305,5.086,39.128,
2020-05-05,27.847,4.733,36.638,
2020-05-06,26.293,4.844,34.825,
2020-05-07,25.154,4.818,33.64,
2020-05-08,23.61,4.755,33.894,
2020-05-09,21.633,4.077,32.81,
2020-05-10,20.212,4.056,32.623,
2020-05-11,19.058,4.017,31.827,
2020-05-12,19.849,3.862,29.964,
2020-05-13,18.504,3.441,28.304,
2020-05-14,17.514,3.412,26.746,
2020-05-15,16.212,3.409,25.408,
2020-05-16,15.709,3.31,24.645,
2020-05-17,15.402,3.262,23.866,
2020-05-18,14.693,3.068,22.46,
2020-05-19,13.268,3.044,21.969,
2020-05-20,12.728,2.962,20.987,
2020-05-21,11.881,2.705,19.564,
2020-05-22,11.55,2.434,18.26,
2020-05-23,11.051,2.352,17.582,
2020-05-24,10.703,2.122,17.125,
2020-05-25,10.337,2.105,16.905,
2020-05-26,9.331,1.902,16.346,
2020-05-27,9.135,1.795,15.787,
2020-05-28,9.016,1.587,15.007,
2020-05-29,8.687,1.483,14.635,
2020-05-30,8.075,1.464,14.482,
2020-05-31,7.596,1.524,13.805,
2020-06-01,7.354,1.447,13.347,
2020-06-02,7.163,1.391,12.331,
