date,new_cases_smoothed_per_million,new_deaths_smoothed_per_million,weekly_hosp_admissions_per_million,new_vaccinations_smoothed_per_million
2020-01-22,,,,
2020-01-23,,,,
2020-01-24,,,,
2020-01-25,,,,
2020-01-26,,,,
2020-01-27,,,,
2020-01-28,0.006,,,
2020-01-29,0.006,,,
2020-01-30,0.01,,,
2020-01-31,0.015,,,
2020-02-01,0.021,,,
2020-02-02,0.018,,,
2020-02-03,0.018,,,
2020-02-04,0.017,,,
2020-02-05,0.018,,,
2020-02-06,0.014,,,
2020-02-07,0.009,,,
2020-02-08,0.005,,,
2020-02-09,0.005,,,
2020-02-10,0.007,,,
2020-02-11,0.006,,,
2020-02-12,0.006,,,
2020-02-13,0.012,,,
2020-02-14,0.023,,,
2020-02-15,0.035,,,
2020-02-16,0.041,,,
2020-02-17,0.047,,,
2020-02-18,0.06,0.002,,
2020-02-19,0.066,0.002,,
2020-02-20,0.071,0.001,,
2020-02-21,0.08,0.001,,
2020-02-22,0.096,0.001,,
2020-02-23,0.103,0.001,,
2020-02-24,0.107,0.001,,
2020-02-25,0.108,0.001,,
2020-02-26,0.123,0.001,,
2020-02-27,0.142,0.002,,
2020-02-28,0.143,0.003,,
2020-02-29,0.124,0.005,,
2020-03-01,0.127,0.005,,
2020-03-02,0.136,0.005,,
2020-03-03,0.144,0.003,,
2020-03-04,0.163,0.005,,
2020-03-05,0.169,0.003,,
2020-03-06,0.212,0.002,,
2020-03-07,0.255,0.001,,
2020-03-08,0.277,0.002,,
2020-03-09,0.287,0.005,,
2020-03-10,0.331,0.008,,
2020-03-11,0.354,0.009,,
2020-03-12,0.381,0.014,,
2020-03-13,0.361,0.016,,
2020-03-14,0.379,0.017,,
2020-03-15,0.377,0.018,,
2020-03-16,0.364,0.023,,
2020-03-17,0.355,0.02,,
2020-03-18,0.332,0.02,,
2020-03-19,0.313,0.016,,
2020-03-20,0.333,0.015,,
2020-03-21,0.304,0.016,,
2020-03-22,0.32,0.018,,
2020-03-23,0.347,0.013,,
2020-03-24,0.373,0.014,,
2020-03-25,0.445,0.015,,
2020-03-26,0.516,0.016,,
2020-03-27,0.585,0.022,,
2020-03-28,0.771,0.023,,
2020-03-29,0.925,0.027,,
2020-03-30,0.988,0.028,,
2020-03-31,1.196,0.029,,
2020-04-01,1.407,0.031,,
2020-04-02,1.616,0.032,,
2020-04-03,1.872,0.032,,
2020-04-04,2.071,0.036,,
2020-04-05,2.269,0.035,,
2020-04-06,2.431,0.036,,
2020-04-07,2.57,0.036,,
2020-04-08,2.864,0.038,,
2020-04-09,3.222,0.044,,
2020-04-10,3.568,0.051,,
2020-04-11,3.949,0.059,,
2020-04-12,4.146,0.062,,
2020-04-13,4.222,0.069,,
2020-04-14,4.37,0.083,,
2020-04-15,4.397,0.093,,
2020-04-16,4.361,0.105,,
2020-04-17,4.274,0.106,,
2020-04-18,4.146,0.113,,
2020-04-19,3.966,0.124,,
2020-04-20,4.017,0.137,,
2020-04-21,3.877,0.153,,
2020-04-22,3.69,0.158,,
2020-04-23,3.539,0.169,,
2020-04-24,3.338,0.165,,
2020-04-25,3.04,0.165,,
2020-04-26,2.871,0.161,,
2020-04-27,2.672,0.164,,
2020-04-28,2.557,0.153,,
2020-04-29,2.35,0.151,,
2020-04-30,2.092,0.15,,
2020-05-01,1.964,0.173,,
2020-05-02,1.93,0.181,,
2020-05-03,1.909,0.19,,
2020-05-04,1.905,0.19,,
2020-05-05,1.722,0.181,,
2020-05-06,1.589,0.174,,
2020-05-07,1.463,0.157,,
2020-05-08,1.247,0.143,,
2020-05-09,1.03,0.136,,
2020-05-10,0.879,0.122,,
2020-05-11,0.728,0.119,,
2020-05-12,0.685,0.131,,
2020-05-13,0.626,0.139,,
2020-05-14,0.626,0.144,,
2020-05-15,0.585,0.145,,
2020-05-16,0.515,0.143,,
2020-05-17,0.463,0.139,,
2020-05-18,0.459,0.128,,
2020-05-19,0.391,0.113,,
2020-05-20,0.372,0.106,,
2020-05-21,0.307,0.097,,
2020-05-22,0.273,0.088,,
2020-05-23,0.24,0.077,,
2020-05-24,0.259,0.075,,
2020-05-25,0.245,0.07,,
2020-05-26,0.248,0.067,,
2020-05-27,0.239,0.06,,
2020-05-28,0.26,0.067,,
2020-05-29,0.318,0.062,,
2020-05-30,0.341,0.058,,
2020-05-31,0.334,0.053,,
2020-06-01,0.353,0.05,,
2020-06-02,0.377,0.046,,
2020-06-03,0.38,0.044,,
2020-06-04,0.362,0.033,,
2020-06-05,0.332,0.031,,
2020-06-06,0.333,0.028,,
2020-06-07,0.337,0.024,,
2020-06-08,0.318,0.025,,
2020-06-09,0.311,0.023,,
2020-06-10,0.319,0.02,,
2020-06-11,0.319,0.014,,
2020-06-12,0.335,0.014,,
2020-06-13,0.334,0.014,,
2020-06-14,0.377,0.014,,
2020-06-15,0.436,0.013,,
2020-06-16,0.432,0.017,,
2020-06-17,0.444,0.016,,
2020-06-18,0.473,0.017,,
2020-06-19,0.473,0.035,,
2020-06-20,0.494,0.032,,
2020-06-21,0.471,0.033,,
2020-06-22,0.438,0.032,,
2020-06-23,0.455,0.031,,
2020-06-24,0.513,0.035,,
2020-06-25,0.528,0.036,,
2020-06-26,0.579,0.014,,
2020-06-27,0.611,0.015,,
2020-06-28,0.678,0.014,,
2020-06-29,0.755,0.015,,
2020-06-30,0.848,0.01,,
2020-07-01,0.884,0.008,,
2020-07-02,1.013,0.007,,
2020-07-03,1.18,0.007,,
2020-07-04,1.39,0.006,,
2020-07-05,1.499,0.006,,
2020-07-06,1.575,0.005,,
2020-07-07,1.656,0.007,,
2020-07-08,1.748,0.007,,
2020-07-09,1.934,0.006,,
2020-07-10,2.141,0.006,,
2020-07-11,2.27,0.007,,
2020-07-12,2.5,0.007,,
2020-07-13,2.595,0.007,,
2020-07-14,2.74,0.005,,
2020-07-15,3.02,0.003,,
2020-07-16,3.33,0.003,,
2020-07-17,3.522,0.003,,
2020-07-18,3.839,0.003,,
2020-07-19,3.959,0.003,,
2020-07-20,4.142,0.005,,
2020-07-21,4.487,0.006,,
2020-07-22,4.884,0.006,,
2020-07-23,5.296,0.008,,
2020-07-24,5.506,0.012,,
2020-07-25,5.667,0.014,,
2020-07-26,6.045,0.014,,
2020-07-27,6.255,0.013,,
2020-07-28,6.662,0.015,,
2020-07-29,7.209,0.018,,
2020-07-30,7.586,0.017,,
2020-07-31,8.516,0.021,,
2020-08-01,9.361,0.017,,
2020-08-02,9.928,0.017,,
2020-08-03,10.349,0.022,,
2020-08-04,10.649,0.024,,
2020-08-05,10.747,0.028,,
2020-08-06,10.951,0.033,,
2020-08-07,10.973,0.035,,
2020-08-08,11.016,0.036,,
2020-08-09,11.143,0.041,,
2020-08-10,10.996,0.041,,
2020-08-11,10.363,0.044,,
2020-08-12,9.93,0.041,,
2020-08-13,9.569,0.047,,
2020-08-14,9.282,0.05,,
2020-08-15,8.891,0.056,,
2020-08-16,8.402,0.063,,
2020-08-17,8.182,0.075,,
2020-08-18,8.434,0.085,,
2020-08-19,8.539,0.096,,
2020-08-20,8.546,0.096,,
2020-08-21,8.178,0.103,,
2020-08-22,7.894,0.101,,
2020-08-23,7.579,0.099,,
2020-08-24,7.402,0.097,,
2020-08-25,7.17,0.095,,
2020-08-26,6.977,0.093,,
2020-08-27,6.614,0.093,,
2020-08-28,6.429,0.099,,
2020-08-29,6.267,0.105,,
2020-08-30,6.101,0.111,,
2020-08-31,6.036,0.112,,
2020-09-01,5.941,0.112,,
2020-09-02,5.583,0.112,,
2020-09-03,5.345,0.108,,
2020-09-04,5.012,0.105,,
2020-09-05,4.729,0.103,,
2020-09-06,4.557,0.096,,
2020-09-07,4.39,0.092,,
2020-09-08,4.247,0.097,,
2020-09-09,4.15,0.098,,
2020-09-10,4.214,0.097,,
2020-09-11,4.277,0.088,,
2020-09-12,4.332,0.092,,
2020-09-13,4.319,0.09,,
2020-09-14,4.29,0.085,,
2020-09-15,4.315,0.08,,
2020-09-16,4.365,0.078,,
2020-09-17,4.108,0.081,,
2020-09-18,4.027,0.082,,
2020-09-19,3.969,0.071,,
2020-09-20,4.017,0.069,,
2020-09-21,4.067,0.069,,
2020-09-22,3.837,0.06,,
2020-09-23,3.454,0.052,,
2020-09-24,3.446,0.055,,
2020-09-25,3.447,0.052,,
2020-09-26,3.497,0.051,,
2020-09-27,3.503,0.05,,
2020-09-28,3.493,0.054,,
2020-09-29,3.719,0.056,,
2020-09-30,4.131,0.058,,
2020-10-01,4.305,0.053,,
2020-10-02,4.269,0.056,,
2020-10-03,4.194,0.06,,
2020-10-04,4.096,0.058,,
2020-10-05,4.07,0.05,,
2020-10-06,4.038,0.05,,
2020-10-07,3.958,0.047,,
2020-10-08,3.951,0.041,,
2020-10-09,4.021,0.037,,
2020-10-10,4.141,0.033,,
2020-10-11,4.183,0.035,,
2020-10-12,4.181,0.035,,
2020-10-13,4.179,0.031,,
2020-10-14,4.232,0.036,,
2020-10-15,4.325,0.036,,
2020-10-16,4.367,0.046,,
2020-10-17,4.304,0.05,,
2020-10-18,4.297,0.052,,
2020-10-19,4.34,0.05,,
2020-10-20,4.321,0.048,,
2020-10-21,4.393,0.046,,
2020-10-22,4.287,0.055,,
2020-10-23,4.41,0.052,,
2020-10-24,4.528,0.05,,
2020-10-25,4.601,0.052,,
2020-10-26,4.709,0.059,,
2020-10-27,4.899,0.061,,
2020-10-28,5.033,0.059,,
2020-10-29,5.254,0.058,,
2020-10-30,5.288,0.053,,
2020-10-31,5.462,0.065,,
2020-11-01,5.6,0.065,,
2020-11-02,5.689,0.069,,
2020-11-03,5.941,0.071,,
2020-11-04,5.818,0.07,,
2020-11-05,6.095,0.069,,
2020-11-06,6.52,0.065,,
2020-11-07,7.045,0.054,,
2020-11-08,7.434,0.055,,
2020-11-09,7.771,0.055,,
2020-11-10,8.253,0.065,,
2020-11-11,9.314,0.074,,
2020-11-12,10.018,0.075,,
2020-11-13,10.664,0.084,,
2020-11-14,11.128,0.082,,
2020-11-15,11.691,0.082,,
2020-11-16,11.887,0.081,,
2020-11-17,12.368,0.08,,
2020-11-18,13.117,0.082,,
2020-11-19,13.954,0.095,,
2020-11-20,14.78,0.097,,
2020-11-21,15.768,0.107,,
2020-11-22,16.597,0.107,,
2020-11-23,17.252,0.104,,
2020-11-24,16.709,0.109,,
2020-11-25,16.419,0.118,,
2020-11-26,16.551,0.127,,
2020-11-27,16.678,0.146,,
2020-11-28,16.774,0.149,,
2020-11-29,16.662,0.159,,
2020-11-30,16.568,0.18,,
2020-12-01,17.494,0.205,,
2020-12-02,18.059,0.218,,
2020-12-03,18.078,0.226,,
2020-12-04,17.987,0.242,,
2020-12-05,17.795,0.251,,
2020-12-06,17.767,0.269,,
2020-12-07,17.877,0.284,,
2020-12-08,18.042,0.29,,
2020-12-09,18.477,0.302,,
2020-12-10,18.998,0.29,,
2020-12-11,19.393,0.286,,
2020-12-12,20.003,0.293,,
2020-12-13,20.401,0.28,,
2020-12-14,20.574,0.289,,
2020-12-15,20.862,0.296,,
2020-12-16,21.076,0.309,,
2020-12-17,21.353,0.323,,
2020-12-18,21.401,0.331,,
2020-12-19,21.346,0.345,,
2020-12-20,21.47,0.363,,
2020-12-21,21.62,0.364,,
2020-12-22,21.929,0.358,,
2020-12-23,22.252,0.362,,
2020-12-24,22.871,0.38,,
2020-12-25,24.017,0.399,,
2020-12-26,25.05,0.407,,
2020-12-27,25.572,0.411,,
2020-12-28,26.248,0.415,,
2020-12-29,27.323,0.428,,
2020-12-30,28.009,0.431,,
2020-12-31,28.914,0.425,,
2021-01-01,28.251,0.408,,
2021-01-02,27.312,0.39,,
2021-01-03,27.568,0.413,,
2021-01-04,28.659,0.409,,
2021-01-05,30.182,0.429,,
2021-01-06,32.692,0.436,,
2021-01-07,36.277,0.453,,
2021-01-08,41.695,0.486,,
2021-01-09,47.207,0.519,,
2021-01-10,50.598,0.501,,
2021-01-11,52.399,0.501,,
2021-01-12,51.994,0.488,,
2021-01-13,51.842,0.524,,
2021-01-14,50.705,0.527,,
2021-01-15,49.802,0.527,,
2021-01-16,48.866,0.523,,
2021-01-17,48.465,0.528,,
2021-01-18,48.5,0.539,,
2021-01-19,49.351,0.585,,
2021-01-20,48.942,0.58,,
2021-01-21,47.799,0.612,,
2021-01-22,45.36,0.647,,
2021-01-23,42.691,0.678,,
2021-01-24,40.651,0.686,,
2021-01-25,38.145,0.704,,
2021-01-26,36.437,0.704,,
2021-01-27,34.607,0.702,,
2021-01-28,32.84,0.724,,
2021-01-29,31.089,0.71,,
2021-01-30,29.494,0.719,,
2021-01-31,27.976,0.73,,
2021-02-01,26.858,0.736,,
2021-02-02,25.096,0.754,,
2021-02-03,23.552,0.788,,
2021-02-04,21.762,0.778,,
2021-02-05,20.416,0.789,,
2021-02-06,19.188,0.793,,
2021-02-07,17.986,0.778,,
2021-02-08,17.322,0.781,,
2021-02-09,16.451,0.753,,
2021-02-10,15.589,0.754,,
2021-02-11,14.566,0.724,,
2021-02-12,13.332,0.674,,
2021-02-13,12.276,0.641,,
2021-02-14,11.967,0.625,,
2021-02-15,11.676,0.613,,
2021-02-16,11.377,0.621,,
2021-02-17,10.872,0.573,,
2021-02-18,10.694,0.57,,4.0
2021-02-19,10.695,0.574,,20.0
2021-02-20,10.549,0.589,,19.0
2021-02-21,10.169,0.603,,19.0
