date,new_cases_smoothed_per_million,new_deaths_smoothed_per_million,weekly_hosp_admissions_per_million,new_vaccinations_smoothed_per_million
2020-02-01,,,,
2020-02-02,,,,
2020-02-03,,,,
2020-02-04,,,,
2020-02-05,,,,
2020-02-06,0.014,,,
2020-02-07,0.014,,,
2020-02-08,0.0,,,
2020-02-09,0.0,,,
2020-02-10,0.0,,,
2020-02-11,0.0,,,
2020-02-12,0.0,,,
2020-02-13,0.0,,,
2020-02-14,0.0,,,
2020-02-15,0.0,,,
2020-02-16,0.0,,,
2020-02-17,0.0,,,
2020-02-18,0.0,,,
2020-02-19,0.0,,,
2020-02-20,0.0,,,
2020-02-21,0.0,,,
2020-02-22,0.0,,,
2020-02-23,0.0,,,
2020-02-24,0.0,,,
2020-02-25,0.0,,,
2020-02-26,0.014,,,
2020-02-27,0.027,,,
2020-02-28,0.135,,,
2020-02-29,0.176,,,
2020-03-01,0.176,,,
2020-03-02,0.244,,,
2020-03-03,0.42,,,
2020-03-04,0.813,,,
2020-03-05,1.138,,,
2020-03-06,1.828,,,
2020-03-07,2.234,,,
2020-03-08,2.857,,,
2020-03-09,4.157,,,
2020-03-10,5.308,,,
2020-03-11,7.556,,,
2020-03-12,9.263,,,
2020-03-13,10.522,,,
2020-03-14,11.037,,,
2020-03-15,11.348,0.095,,
2020-03-16,11.104,0.108,,
2020-03-17,11.389,0.176,,
2020-03-18,10.698,0.271,,
2020-03-19,10.59,0.379,,
2020-03-20,10.969,0.474,,
2020-03-21,11.836,0.596,,
2020-03-22,12.499,0.718,,
2020-03-23,13.84,0.989,,
2020-03-24,15.343,1.205,,
2020-03-25,17.631,1.53,,
2020-03-26,19.568,1.842,,
2020-03-27,22.073,2.207,,
2020-03-28,24.308,2.573,,
2020-03-29,26.501,3.033,,
2020-03-30,29.67,3.399,,
2020-03-31,32.988,3.819,,
2020-04-01,35.317,4.347,,
2020-04-02,38.946,4.997,,
2020-04-03,42.142,5.471,,
2020-04-04,42.914,,,
2020-04-05,43.726,4.726,,
2020-04-06,43.361,5.105,,
2020-04-07,46.922,5.931,,
2020-04-08,49.211,6.283,,
2020-04-09,50.443,6.635,,
2020-04-10,48.453,6.73,,
2020-04-11,48.967,6.96,,
2020-04-12,50.646,6.744,,
2020-04-13,51.296,5.985,,
2020-04-14,47.789,5.985,,
2020-04-15,47.098,6.988,,
