date,new_cases_smoothed_per_million,new_deaths_smoothed_per_million,weekly_hosp_admissions_per_million,new_vaccinations_smoothed_per_million
2020-01-30,,,,
2020-01-31,,,,
2020-02-01,,,,
2020-02-02,,,,
2020-02-03,,,,
2020-02-04,,0.004,,
2020-02-05,0.019,0.004,,
2020-02-06,0.019,0.002,,
2020-02-07,0.015,0.002,,
2020-02-08,0.023,0.002,,
2020-02-09,0.025,0.0,,
2020-02-10,0.013,0.0,,
2020-02-11,0.015,0.0,,
2020-02-12,0.015,0.0,,
2020-02-13,0.017,0.0,,
2020-02-14,0.019,0.0,,
2020-02-15,0.011,0.0,,
2020-02-16,0.008,0.0,,
2020-02-17,0.011,0.0,,
2020-02-18,0.008,0.0,,
2020-02-19,0.008,0.0,,
2020-02-20,0.011,0.0,,
2020-02-21,0.011,0.0,,
2020-02-22,0.011,0.002,,
2020-02-23,0.021,0.002,,
2020-02-24,0.023,0.002,,
2020-02-25,0.032,0.002,,
2020-02-26,0.036,0.002,,
2020-02-27,0.047,0.002,,
2020-02-28,0.07,0.002,,
2020-02-29,0.08,0.0,,
2020-03-01,0.14,0.0,,
2020-03-02,0.22,0.002,,
2020-03-03,0.328,0.002,,
2020-03-04,0.44,0.004,,
2020-03-05,0.529,0.008,,
2020-03-06,0.671,0.013,,
2020-03-07,0.777,0.013,,
2020-03-08,0.821,0.017,,
2020-03-09,1.047,0.025,,
2020-03-10,1.477,0.032,,
2020-03-11,2.228,0.044,,
2020-03-12,3.159,0.068,,
2020-03-13,4.006,0.097,,
2020-03-14,4.66,0.142,,
2020-03-15,5.481,0.203,,
2020-03-16,6.465,0.3,,
2020-03-17,7.544,0.417,,
2020-03-18,8.788,0.557,,
2020-03-19,9.986,0.696,,
2020-03-20,11.626,0.912,,
2020-03-21,13.389,1.172,,
2020-03-22,15.365,1.494,,
2020-03-23,19.011,1.826,,
2020-03-24,22.403,2.26,,
2020-03-25,25.988,2.819,,
2020-03-26,30.282,3.525,,
2020-03-27,34.402,4.256,,
2020-03-28,37.84,5.043,,
2020-03-29,40.974,5.896,206.284,
2020-03-30,45.076,6.96,234.665,
2020-03-31,49.612,8.162,251.196,
2020-04-01,54.312,9.404,273.09,
2020-04-02,58.081,10.661,293.132,
2020-04-03,61.708,11.926,303.545,
2020-04-04,64.243,13.262,314.299,
2020-04-05,65.803,14.603,320.535,
2020-04-06,67.923,15.575,318.432,
2020-04-07,69.902,16.552,323.113,
2020-04-08,70.357,17.689,314.24,
2020-04-09,70.329,18.467,304.567,
2020-04-10,69.06,19.013,297.59,
2020-04-11,68.122,19.475,286.347,
2020-04-12,67.913,19.809,273.801,
2020-04-13,65.602,19.94,260.691,
2020-04-14,63.221,19.858,244.96,
2020-04-15,63.086,19.466,228.873,
2020-04-16,64.03,19.354,219.689,
2020-04-17,65.405,19.255,212.357,
2020-04-18,67.815,18.882,204.462,
2020-04-19,68.571,18.34,198.403,
2020-04-20,69.999,18.188,192.093,
2020-04-21,70.92,17.83,186.523,
2020-04-22,71.819,17.462,181.339,
2020-04-23,71.491,16.861,173.933,
2020-04-24,71.508,16.296,167.37,
2020-04-25,69.46,15.725,161.786,
2020-04-26,68.647,15.242,157.313,
2020-04-27,68.317,14.62,154.35,
2020-04-28,68.234,14.019,151.476,
2020-04-29,68.118,13.416,150.854,
2020-04-30,67.722,12.87,149.832,
2020-05-01,67.202,12.407,145.966,
2020-05-02,66.086,11.954,144.885,
2020-05-03,65.041,11.463,142.411,
2020-05-04,62.239,11.061,138.159,
2020-05-05,60.045,10.725,132.649,
2020-05-06,56.651,10.322,128.442,
2020-05-07,54.135,10.007,124.354,
2020-05-08,50.584,9.548,119.125,
2020-05-09,48.317,9.197,115.629,
2020-05-10,46.936,8.841,111.585,
2020-05-11,47.369,8.316,108.326,
2020-05-12,46.745,7.891,105.912,
2020-05-13,45.617,7.525,102.386,
2020-05-14,43.167,7.174,98.565,
2020-05-15,42.041,6.86,97.957,
2020-05-16,41.861,6.607,96.017,
